TIMESTAMP	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
2016-02-17	7.714256944444445	7.277388888888889	8.355138888888888	8.455902777777778	4.896833333333333	3.4999583333333337	5.160534722222222	-14.16826388888889	-13.376319444444444	-12.997291666666666	-12.656180555555556	-12.004722222222222	-10.925694444444444	-9.117222222222223	-8.125694444444443
2016-02-18	7.692222222222223	7.259847222222222	8.337569444444444	8.445347222222221	4.887465277777777	3.497118055555555	5.1524930555555555	-16.045625	-14.018194444444445	-13.491805555555555	-12.910555555555554	-12.101875	-11.00173611111111	-9.183611111111112	-8.166527777777778
2016-02-19	7.587375000000001	7.1705	8.24951388888889	8.403194444444445	4.870541666666667	3.4889791666666667	5.150263888888889	-18.915499999999998	-15.439305555555556	-14.579722222222223	-13.790277777777778	-12.539652777777778	-11.166875	-9.246666666666666	-8.212083333333332
2016-02-20	7.581006944444444	7.14713888888889	8.209444444444445	8.347777777777777	4.846604166666667	3.4808958333333333	5.145256944444444	-14.855409722222223	-14.704583333333334	-14.274791666666667	-13.880833333333333	-12.878333333333334	-11.436875	-9.337777777777779	-8.268333333333333
2016-02-21	7.724701388888889	7.265527777777779	8.312291666666667	8.365625000000001	4.834652777777778	3.4695555555555555	5.136638888888889	-12.994652777777778	-12.887777777777778	-12.720555555555556	-12.750555555555556	-12.485	-11.506180555555556	-9.45451388888889	-8.344583333333333
2016-02-22	7.778090277777778	7.322666666666667	8.381458333333335	8.412986111111111	4.85175	3.4646944444444445	5.127527777777778	-14.509569444444445	-12.820486111111112	-12.4325	-12.31263888888889	-12.03361111111111	-11.300069444444444	-9.520555555555555	-8.41986111111111
2016-02-23	7.720659722222223	7.282576388888889	8.355902777777779	8.426319444444445	4.865277777777778	3.4648680555555558	5.122090277777778	-16.27009027777778	-13.898819444444445	-13.21826388888889	-12.739444444444445	-12.023263888888888	-11.155833333333334	-9.513055555555555	-8.456944444444444
2016-02-24	7.654673611111111	7.221743055555556	8.295208333333333	8.403263888888889	4.863333333333333	3.4676388888888887	5.120562500000001	-16.387930555555556	-14.31909722222222	-13.738750000000001	-13.257152777777778	-12.332013888888888	-11.211666666666666	-9.493611111111111	-8.469236111111112
2016-02-25	7.6815	7.239701388888889	8.301041666666666	8.38888888888889	4.853965277777778	3.4635069444444446	5.117652777777778	-15.18451388888889	-13.632916666666667	-13.21451388888889	-13.005416666666667	-12.380625	-11.318541666666667	-9.51375	-8.486527777777777
2016-02-26	7.769041666666666	7.313111111111111	8.366736111111111	8.421944444444444	4.8544583333333335	3.4581458333333335	5.116569444444445	-12.050868055555556	-12.407083333333333	-12.21375	-12.289305555555556	-12.065069444444443	-11.2725	-9.547291666666666	-8.513194444444444
