iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
6,0,1000,0.75,0.0025,0.000456229,1.26975,1.96389,0.142407,0.212533,0.543839,0.668176,0.157157,0.958786,1.29157,1.50094,0.319074,0.710946,0.44601,0.3524,7.36289e-11,1.75e-13,900,1900,0.487239,0.764921,0.0101823,0.0344136,0.0234564,0.00875
7,0,0.1,1,0.0025,0.000456229,1.24916,1.95693,0.12836,0.208662,0.573934,0.623053,0.156427,0.957766,1.2643,1.49889,0.266375,0.719341,0.443868,0.35474,9.35659e-11,1.75e-13,900,1900,0.469649,0.762486,0.0101719,0.035,0.0266722,0.00875
7,0,0.1,0.75,0.0025,0.000456229,1.25357,1.95859,0.131284,0.209498,0.567571,0.632644,0.156777,0.958037,1.27023,1.4992,0.278268,0.717489,0.444342,0.35424,8.89727e-11,1.75e-13,900,1900,0.473511,0.763072,0.0101745,0.035,0.02597,0.00875
7,0,1,1,0.0025,0.000456229,1.24062,1.96251,0.134738,0.212075,0.588394,0.642722,0.156851,0.957292,1.27706,1.49899,0.288248,0.712467,0.436119,0.346444,9.35659e-11,1.75e-13,900,1900,0.473607,0.759558,0.0101881,0.035,0.0267216,0.00875
7,0,1,0.75,0.0025,0.000456229,1.24717,1.96277,0.136067,0.212057,0.578416,0.647395,0.157095,0.957681,1.2798,1.49927,0.294672,0.712334,0.438531,0.348018,8.89727e-11,1.75e-13,900,1900,0.476479,0.760876,0.0101867,0.035,0.026007,0.00875
7,0,10,1,0.0025,0.000456229,1.25532,1.96379,0.142641,0.215005,0.560747,0.658601,0.157693,0.958505,1.28581,1.49985,0.30846,0.711824,0.43906,0.346159,9.35659e-11,1.75e-13,900,1900,0.481288,0.761438,0.0101823,0.0334943,0.022087,0.00875
7,0,10,0.75,0.0025,0.000456229,1.25819,1.96373,0.141994,0.214255,0.557681,0.659304,0.157727,0.958591,1.28636,1.49992,0.309831,0.711851,0.440736,0.347804,8.89727e-11,1.75e-13,900,1900,0.48224,0.762286,0.0101823,0.0338707,0.0225311,0.00875
7,0,100,1,0.0025,0.000456229,1.26522,1.9636,0.140579,0.21258,0.550052,0.661148,0.157823,0.958806,1.28778,1.5001,0.313315,0.711904,0.444755,0.35174,8.12674e-11,1.75e-13,900,1900,0.484395,0.764084,0.0101823,0.0347273,0.0223691,0.00875
7,0,100,0.75,0.0025,0.000456229,1.26561,1.96359,0.140448,0.212436,0.549659,0.661214,0.157824,0.958817,1.28784,1.50011,0.313473,0.711911,0.445008,0.35199,7.97489e-11,1.75e-13,900,1900,0.48457,0.76427,0.0101823,0.0347954,0.0227427,0.00875
7,0,1000,1,0.00250045,0.000456229,1.26664,1.96356,0.140112,0.212071,0.548646,0.661389,0.157827,0.958844,1.288,1.50013,0.313882,0.711928,0.445656,0.352633,7.51695e-11,1.75e-13,900,1900,0.485011,0.764735,0.0101823,0.0349703,0.0236389,0.00875
