iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
7,0,1,1,0.0025,0.000456229,2.02365,2.04866,0.236686,0.176445,0.451012,0.950631,0.110494,0.984512,1.50457,1.49943,0.481104,0.698884,0.665487,0.483377,1.33666e-11,2.5e-14,900,1900
7,0,1,0.75,0.0025,0.000456229,2.0239,2.04867,0.236643,0.176377,0.450932,0.950643,0.110427,0.984512,1.50458,1.49943,0.48114,0.698884,0.665243,0.483345,1.33666e-11,2.5e-14,900,1900
7,0,10,1,0.0025,0.000456229,2.02454,2.04869,0.236534,0.176201,0.450725,0.950674,0.110255,0.984512,1.50459,1.49943,0.481233,0.698884,0.664608,0.483262,1.33666e-11,2.5e-14,900,1900
7,0,10,0.75,0.0025,0.000456229,2.02457,2.04869,0.236529,0.176194,0.450717,0.950675,0.110249,0.984512,1.50459,1.49943,0.481237,0.698884,0.664583,0.483259,1.33666e-11,2.5e-14,900,1900
7,0,100,1,0.0025,0.000456229,2.02463,2.04869,0.236516,0.176176,0.450696,0.950678,0.110231,0.984512,1.50459,1.49943,0.481246,0.698884,0.664518,0.48325,1.33666e-11,2.5e-14,900,1900
7,0,100,0.75,0.0025,0.000456229,2.02463,2.04869,0.236516,0.176175,0.450695,0.950678,0.110231,0.984512,1.50459,1.49943,0.481246,0.698884,0.664516,0.48325,1.33666e-11,2.5e-14,900,1900
7,0,1000,1,0.0025,0.000456229,2.02464,2.04869,0.236514,0.176173,0.450693,0.950679,0.110229,0.984512,1.50459,1.49943,0.481247,0.698884,0.66451,0.483249,1.33666e-11,2.5e-14,900,1900
7,0,1000,0.75,0.0025,0.000456229,2.02464,2.04869,0.236514,0.176173,0.450693,0.950679,0.110229,0.984512,1.50459,1.49943,0.481247,0.698884,0.664509,0.483249,1.33666e-11,2.5e-14,900,1900
8,0,0.1,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18581e-11,2.5e-14,900,1900
8,0,0.1,0.75,0.0025,0.000456229,2.00802,2.04811,0.235366,0.179414,0.456,0.949865,0.114512,0.984512,1.50426,1.49943,0.478841,0.698884,0.679243,0.485062,5.72352e-11,2.5e-14,900,1900
8,0,1,1,0.0025,0.000456229,2.01411,2.04835,0.236539,0.17847,0.454118,0.950165,0.113051,0.984512,1.50437,1.49943,0.479705,0.698884,0.674171,0.484381,7.25995e-11,2.5e-14,900,1900
8,0,1,0.75,0.0025,0.000456229,2.01435,2.04835,0.23656,0.17842,0.454044,0.950177,0.112994,0.984512,1.50437,1.49943,0.479739,0.698884,0.673957,0.484347,5.77913e-11,2.5e-14,900,1900
8,0,10,1,0.0025,0.000456229,2.01498,2.04838,0.236615,0.178291,0.453854,0.950208,0.112846,0.984512,1.50438,1.49943,0.479826,0.698884,0.673402,0.484258,7.26895e-11,2.5e-14,900,1900
8,0,10,0.75,0.0025,0.000456229,2.01501,2.04838,0.236617,0.178285,0.453847,0.950209,0.11284,0.984512,1.50438,1.49943,0.47983,0.698884,0.673381,0.484255,5.78588e-11,2.5e-14,900,1900
8,0,100,1,0.0025,0.000456229,2.01507,2.04838,0.236621,0.178272,0.453828,0.950212,0.112825,0.984512,1.50438,1.49943,0.479839,0.698884,0.673325,0.484246,7.26987e-11,2.5e-14,900,1900
8,0,100,0.75,0.0025,0.000456229,2.01507,2.04838,0.236621,0.178272,0.453827,0.950212,0.112825,0.984512,1.50438,1.49943,0.479839,0.698884,0.673323,0.484246,5.78657e-11,2.5e-14,900,1900
8,0,1000,1,0.0025,0.000456229,2.01508,2.04838,0.236622,0.17827,0.453825,0.950212,0.112823,0.984512,1.50438,1.49943,0.47984,0.698884,0.673317,0.484245,1.33666e-11,2.5e-14,900,1900
8,0,1000,0.75,0.0025,0.000456229,2.01508,2.04838,0.236622,0.17827,0.453825,0.950212,0.112823,0.984512,1.50438,1.49943,0.47984,0.698884,0.673317,0.484245,1.33666e-11,2.5e-14,900,1900
9,0,0.1,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18589e-11,2.5e-14,900,1900
9,0,0.1,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18587e-11,2.5e-14,900,1900
9,0,1,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18589e-11,2.5e-14,900,1900
9,0,1,0.75,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18587e-11,2.5e-14,900,1900
9,0,10,1,0.0025,0.000456229,2.00567,2.04802,0.234947,0.179795,0.456726,0.949749,0.115074,0.984512,1.50421,1.49943,0.478507,0.698884,0.681219,0.485334,7.18589e-11,2.5e-14,900,1900
