iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
7,0,100,0.75,0.0025,0.0031936,2.02352,2.04877,0.234138,0.175819,0.469919,0.947757,0.124005,0.981262,1.50236,1.4995,0.474104,0.698814,0.660376,0.480491,1.33666e-11,2.5e-14,900,1900
7,0,1000,1,0.0025,0.0031936,2.02352,2.04877,0.234137,0.175814,0.469912,0.947758,0.124,0.981263,1.50236,1.4995,0.474107,0.698814,0.660372,0.480492,1.33666e-11,2.5e-14,900,1900
7,0,1000,0.75,0.0025,0.0031936,2.02352,2.04877,0.234137,0.175814,0.469912,0.947758,0.124,0.981263,1.50236,1.4995,0.474107,0.698814,0.660372,0.480492,1.33666e-11,2.5e-14,900,1900
8,0,0.1,1,0.0025,0.0031936,2.00572,2.04972,0.23393,0.187014,0.488706,0.945217,0.137416,0.979569,1.50068,1.4996,0.466005,0.698782,0.672753,0.475386,1.36456e-11,2.5e-14,900,1900
8,0,0.1,0.75,0.0025,0.0031936,2.00793,2.04955,0.234059,0.185772,0.486418,0.945531,0.135782,0.979772,1.50089,1.49959,0.467,0.69879,0.671253,0.476071,1.35759e-11,2.5e-14,900,1900
8,0,1,1,0.0025,0.0031936,2.01367,2.04914,0.234479,0.18267,0.48054,0.946336,0.131584,0.980302,1.50142,1.49956,0.469562,0.698811,0.667397,0.477849,1.78697e-11,2.5e-14,900,1900
8,0,1,0.75,0.0025,0.0031936,2.01389,2.04912,0.234471,0.182514,0.480294,0.94637,0.131408,0.980322,1.50144,1.49956,0.469668,0.698812,0.667236,0.477919,1.67439e-11,2.5e-14,900,1900
8,0,10,1,0.0025,0.0031936,2.01449,2.04906,0.234451,0.18211,0.479653,0.946458,0.130953,0.980373,1.50149,1.49956,0.469943,0.698814,0.666817,0.478099,1.83251e-11,2.5e-14,900,1900
8,0,10,0.75,0.0025,0.0031936,2.01451,2.04906,0.23445,0.182094,0.479629,0.946462,0.130935,0.980375,1.5015,1.49956,0.469954,0.698814,0.666801,0.478106,1.70855e-11,2.5e-14,900,1900
8,0,100,1,0.0025,0.0031936,2.01457,2.04905,0.234447,0.182052,0.479564,0.946471,0.130889,0.980381,1.5015,1.49956,0.469981,0.698814,0.666758,0.478124,1.33666e-11,2.5e-14,900,1900
8,0,100,0.75,0.0025,0.0031936,2.01458,2.04905,0.234447,0.182051,0.479561,0.946471,0.130887,0.980381,1.5015,1.49956,0.469982,0.698814,0.666757,0.478125,1.33666e-11,2.5e-14,900,1900
8,0,1000,1,0.0025,0.0031936,2.01458,2.04905,0.234446,0.182047,0.479555,0.946472,0.130883,0.980381,1.5015,1.49956,0.469985,0.698814,0.666753,0.478127,1.33666e-11,2.5e-14,900,1900
8,0,1000,0.75,0.0025,0.0031936,2.01458,2.04905,0.234446,0.182046,0.479555,0.946472,0.130882,0.980381,1.5015,1.49956,0.469985,0.698814,0.666752,0.478127,1.33666e-11,2.5e-14,900,1900
9,0,0.1,1,0.0025,0.0031936,2.00501,2.04978,0.233814,0.187401,0.489408,0.945116,0.137901,0.979503,1.50062,1.4996,0.465702,0.698778,0.673213,0.475115,1.33666e-11,2.5e-14,900,1900
9,0,0.1,0.75,0.0025,0.0031936,2.00519,2.04976,0.233843,0.187304,0.489232,0.945141,0.13778,0.97952,1.50064,1.4996,0.465778,0.698779,0.673098,0.475183,1.34363e-11,2.5e-14,900,1900
9,0,1,1,0.0025,0.0031936,2.00562,2.04973,0.233921,0.187078,0.488807,0.945203,0.137486,0.979561,1.50068,1.4996,0.465962,0.698781,0.672818,0.475349,1.33666e-11,2.5e-14,900,1900
9,0,1,0.75,0.0025,0.0031936,2.00564,2.04972,0.233923,0.187062,0.488782,0.945206,0.137468,0.979563,1.50068,1.4996,0.465973,0.698782,0.672802,0.475358,1.34363e-11,2.5e-14,900,1900
9,0,10,1,0.0025,0.0031936,2.00571,2.04972,0.233929,0.187021,0.488717,0.945216,0.137423,0.979568,1.50068,1.4996,0.466001,0.698782,0.67276,0.475382,1.33666e-11,2.5e-14,900,1900
9,0,10,0.75,0.0025,0.0031936,2.00571,2.04972,0.233929,0.187019,0.488714,0.945216,0.137421,0.979569,1.50068,1.4996,0.466002,0.698782,0.672758,0.475383,1.34363e-11,2.5e-14,900,1900
9,0,100,1,0.0025,0.0031936,2.00572,2.04972,0.23393,0.187015,0.488707,0.945217,0.137416,0.979569,1.50068,1.4996,0.466005,0.698782,0.672753,0.475386,1.33666e-11,2.5e-14,900,1900
9,0,100,0.75,0.0025,0.0031936,2.00572,2.04972,0.23393,0.187015,0.488707,0.945217,0.137416,0.979569,1.50068,1.4996,0.466005,0.698782,0.672753,0.475386,1.34363e-11,2.5e-14,900,1900
9,0,1000,1,0.0025,0.0031936,2.00572,2.04972,0.23393,0.187015,0.488707,0.945217,0.137416,0.979569,1.50068,1.4996,0.466005,0.698782,0.672753,0.475386,1.36456e-11,2.5e-14,900,1900
9,0,1000,0.75,0.0025,0.0031936,2.00572,2.04972,0.23393,0.187014,0.488707,0.945217,0.137416,0.979569,1.50068,1.4996,0.466005,0.698782,0.672753,0.475386,1.36456e-11,2.5e-14,900,1900
10,0,0.1,1,0.0025,0.0031936,1.99626,2.05049,0.232135,0.192152,0.497797,0.94394,0.143737,0.978785,1.49998,1.49966,0.462147,0.69878,0.679044,0.471937,3.45405e-11,2.5e-14,900,1900
10,0,0.1,0.75,0.0025,0.0031936,1.99845,2.05032,0.232555,0.190965,0.4957,0.944234,0.142278,0.978964,1.50014,1.49964,0.463035,0.69878,0.677586,0.472732,2.9247e-11,2.5e-14,900,1900
10,0,1,1,0.0025,0.0031936,2.00411,2.04987,0.233696,0.187988,0.490308,0.94499,0.138531,0.979432,1.50055,1.49961,0.465325,0.698779,0.673831,0.474793,3.56509e-11,2.5e-14,900,1900
10,0,1,0.75,0.0025,0.0031936,2.00434,2.04985,0.233726,0.187842,0.490083,0.945021,0.138373,0.97945,1.50057,1.4996,0.465419,0.698779,0.673676,0.474874,3.00798e-11,2.5e-14,900,1900
10,0,10,1,0.0025,0.0031936,2.00492,2.04979,0.233803,0.187461,0.489499,0.945103,0.137965,0.979496,1.50062,1.4996,0.465664,0.698778,0.673275,0.475083,3.57741e-11,2.5e-14,900,1900
10,0,10,0.75,0.0025,0.0031936,2.00495,2.04979,0.233806,0.187446,0.489476,0.945107,0.137949,0.979498,1.50062,1.4996,0.465673,0.698778,0.67326,0.475091,3.01722e-11,2.5e-14,900,1900
10,0,100,1,0.0025,0.0031936,2.005,2.04978,0.233813,0.187407,0.489417,0.945115,0.137907,0.979502,1.50062,1.4996,0.465698,0.698778,0.673219,0.475112,3.57866e-11,2.5e-14,900,1900
10,0,100,0.75,0.0025,0.0031936,2.00501,2.04978,0.233813,0.187406,0.489415,0.945115,0.137906,0.979502,1.50062,1.4996,0.465699,0.698778,0.673218,0.475113,3.01816e-11,2.5e-14,900,1900
10,0,1000,1,0.0025,0.0031936,2.00501,2.04978,0.233814,0.187402,0.489409,0.945116,0.137902,0.979503,1.50062,1.4996,0.465701,0.698778,0.673214,0.475115,1.33666e-11,2.5e-14,900,1900
10,0,1000,0.75,0.0025,0.0031936,2.00501,2.04978,0.233814,0.187402,0.489409,0.945116,0.137902,0.979503,1.50062,1.4996,0.465702,0.698778,0.673213,0.475115,1.33666e-11,2.5e-14,900,1900
11,0,0.1,1,0.0025,0.0031936,1.98909,2.05115,0.23045,0.195719,0.504741,0.942919,0.148334,0.978152,1.49943,1.49967,0.459201,0.69878,0.683679,0.468707,1.33666e-11,2.5e-14,900,1900
11,0,0.1,0.75,0.0025,0.0031936,1.99088,2.05098,0.230871,0.194828,0.503005,0.943175,0.147185,0.97831,1.49957,1.49966,0.459937,0.69878,0.68252,0.469515,1.866e-11,2.5e-14,900,1900
11,0,1,1,0.0025,0.0031936,1.99536,2.05059,0.231969,0.192678,0.498696,0.943807,0.144333,0.978709,1.49991,1.49966,0.461768,0.69878,0.679639,0.471535,1.80606e-11,2.5e-14,900,1900
11,0,1,0.75,0.0025,0.0031936,1.99558,2.05056,0.23201,0.192546,0.498471,0.94384,0.144184,0.978728,1.49992,1.49966,0.461863,0.69878,0.67949,0.471636,2.21805e-11,2.5e-14,900,1900
11,0,10,1,0.0025,0.0031936,1.99617,2.0505,0.232119,0.192206,0.497888,0.943927,0.143797,0.978777,1.49997,1.49966,0.462108,0.69878,0.679104,0.471897,1.90726e-11,2.5e-14,900,1900
11,0,10,0.75,0.0025,0.0031936,1.99619,2.0505,0.232123,0.192193,0.497865,0.94393,0.143782,0.978779,1.49997,1.49966,0.462118,0.69878,0.679089,0.471907,2.29396e-11,2.5e-14,900,1900
11,0,100,1,0.0025,0.0031936,1.99625,2.05049,0.232133,0.192158,0.497806,0.943939,0.143743,0.978784,1.49998,1.49966,0.462143,0.69878,0.67905,0.471933,1.91748e-11,2.5e-14,900,1900
11,0,100,0.75,0.0025,0.0031936,1.99625,2.05049,0.232134,0.192156,0.497804,0.943939,0.143741,0.978784,1.49998,1.49966,0.462144,0.69878,0.679048,0.471934,2.30162e-11,2.5e-14,900,1900
11,0,1000,1,0.0025,0.0031936,1.99626,2.05049,0.232135,0.192153,0.497798,0.94394,0.143737,0.978785,1.49998,1.49966,0.462146,0.69878,0.679044,0.471937,3.45405e-11,2.5e-14,900,1900
11,0,1000,0.75,0.0025,0.0031936,1.99626,2.05049,0.232135,0.192153,0.497798,0.94394,0.143737,0.978785,1.49998,1.49966,0.462146,0.69878,0.679044,0.471937,3.45405e-11,2.5e-14,900,1900
12,0,0.1,1,0.0025,0.0031936,1.98041,2.05199,0.228434,0.199924,0.512868,0.941615,0.154094,0.97744,1.49878,1.49971,0.455459,0.69878,0.689123,0.464854,1.33666e-11,2.5e-14,900,1900
